,Compound_Score,Date,Followers,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Tweet_Text
78,0.6249,Wed Jan 24 11:01:48 +0000 2018,36868459,0.0,0.796,0.204,BBC Breaking News,Great Ormond Street to return donations from organisation that held men-only dinner where hostesses allegedly groped https://t.co/e2DBhtvamf
79,-0.4404,Wed Jan 24 09:33:26 +0000 2018,36868459,0.146,0.854,0.0,BBC Breaking News,"UK unemployment fell by 3,000 to 1.44 million in the three months to November, official figures show https://t.co/gcWk3fvKsm"
80,-0.3818,Wed Jan 24 05:53:14 +0000 2018,36868459,0.242,0.625,0.133,BBC Breaking News,"Save the Children's office in Jalalabad, Afghanistan, is under attack by gunmen - at least 11 people injured https://t.co/fSdWjuL6gz"
81,-0.1027,Tue Jan 23 15:14:02 +0000 2018,36868459,0.08,0.92,0.0,BBC Breaking News,US attorney general Sessions questioned last week by investigators over alleged Trump campaign collusion with Russia https://t.co/DcHdKmF4v2
82,0.6369,Tue Jan 23 14:07:55 +0000 2018,36868459,0.0,0.792,0.208,BBC Breaking News,"The Shape of Water leads race in the Oscars, with 13 nominations, including Best Picture

https://t.co/EbTbIVDYnI… https://t.co/iQyNOiaIUx"
83,0.296,Tue Jan 23 09:49:09 +0000 2018,36868459,0.0,0.845,0.155,BBC Breaking News,Tsunami alert is issued after an 8.0-strength earthquake off southern Alaska coast https://t.co/5K1gZaR1qH
84,0.0,Tue Jan 23 04:29:00 +0000 2018,36868459,0.0,1.0,0.0,BBC Breaking News,"An avalanche which may have been trigged by a volcano erupting nearby hits a ski resort in Kusatsu, Japan https://t.co/eNTA7fFBKj"
85,0.0258,Mon Jan 22 17:25:50 +0000 2018,36868459,0.0,0.936,0.064,BBC Breaking News,US government shutdown to end after Senate Republicans and Democrats reach temporary deal on federal budget… https://t.co/DqJYEC2KNI
86,0.2883,Mon Jan 22 16:17:24 +0000 2018,36868459,0.093,0.721,0.185,BBC Breaking News,"""I will not be resigning as party leader.""   

UKIP leader Henry Bolton stands firm after a wave of resignations fr… https://t.co/SmJBrEauJi"
87,-0.8176,Mon Jan 22 15:38:10 +0000 2018,36868459,0.349,0.602,0.048,BBC Breaking News,"Pope Francis makes rare apology for ""hurting"" sex abuse victims in Chile whom he accused of slandering a bishop https://t.co/gndHJqt7FZ"
