,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
702,kodinar,in,"{'lon': 70.703056, 'lat': 20.790278999999998}",1266397,20.79,70.7,1517043260,85.29,24,0,3.51,1517043600,88.3,24,0,3.51,1517043600,1517464800,69.95349999999999,53.725,0.0,4.73925
703,saldanha,za,"{'lon': 17.944201, 'lat': -33.011669}",3361934,-33.01,17.94,1517040000,75.2,50,0,16.11,1517043600,78.62,69,0,20.74,1517043600,1517464800,68.41499999999999,72.7,9.4,15.190499999999997
704,tricase,it,"{'lon': 18.35533, 'lat': 39.93042}",6540769,39.93,18.36,1517039700,49.03,93,75,4.7,1517054400,55.69,100,76,8.75,1517043600,1517464800,53.47249999999999,100.0,23.4,11.0485
706,narva-joesuu,ee,"{'lon': 28.040831, 'lat': 59.458889}",590030,59.46,28.04,1517043313,33.32,97,92,4.97,1517054400,35.22,96,92,4.94,1517043600,1517464800,23.1815,86.725,63.6,5.1655
707,halalo,wf,"{'lon': -176.2171202, 'lat': -13.3436344}",0,-13.34,-176.22,1517043314,81.92,100,48,11.68,1517130000,83.26,100,48,9.75,1517043600,1517464800,82.97825,99.95,60.4,9.680000000000001
708,petropavlovsk-kamchatskiy,ru,"{'lon': 158.6483, 'lat': 53.0452}",2122104,53.05,158.65,1517040000,28.4,92,75,6.71,1517108400,31.18,92,92,3.58,1517043600,1517464800,27.237000000000002,92.55,78.8,6.186
709,san carlos de bariloche,ar,"{'lon': -71.300003, 'lat': -41.150002}",3837856,-41.15,-71.3,1517043315,41.51,68,0,2.73,1517076000,59.66,39,0,4.43,1517043600,1517464800,49.54025,56.625,1.4,2.75
711,sarmanovo,ru,"{'lon': 52.589069, 'lat': 55.25528}",498537,55.26,52.59,1517040000,3.2,59,90,15.66,1517054400,6.82,77,12,12.21,1517043600,1517464800,6.47625,75.1,50.0,15.284
712,huarmey,pe,"{'lon': -78.152222, 'lat': -10.06806}",3939168,-10.07,-78.15,1517043317,59.1,91,0,2.17,1517076000,79.06,53,8,3.76,1517043600,1517464800,68.44275,73.675,10.9,3.1625000000000005
713,ajtos,bg,"{'lon': 27.250644, 'lat': 42.7031175}",0,42.7,27.25,1517041800,35.6,74,20,6.93,1517043600,56.35,71,0,4.41,1517043600,1517464800,31.37225,69.35,2.1,4.96925
714,prata,br,"{'lon': -48.924171, 'lat': -19.30722}",3452440,-19.31,-48.92,1517043318,67.79,98,80,4.18,1517076000,87.07,67,24,7.78,1517043600,1517464800,73.49575,93.925,60.8,6.5584999999999996
715,vardo,no,"{'lon': 31.110661, 'lat': 70.370483}",777019,70.37,31.11,1517043215,30.84,100,48,19.17,1517054400,31.03,100,32,18.37,1517043600,1517464800,24.185000000000002,100.0,27.2,13.885
716,anniston,us,"{'lon': -85.831627, 'lat': 33.659828}",4830198,33.66,-85.83,1517042100,51.69,71,90,10.29,1517086800,62.81,66,92,6.6,1517043600,1517464800,44.528999999999996,70.35,34.6,5.51
717,sulangan,ph,"{'lon': 123.722801, 'lat': 11.1373}",1685422,11.14,123.72,1517043320,78.99,100,64,13.47,1517065200,80.5,100,88,17.25,1517043600,1517464800,80.37025,99.6,59.9,15.80025
